iter	Passed	Remaining
410	4248	920
411	4258	909
412	4267	898
413	4276	888
414	4285	877
415	4294	867
416	4304	856
417	4314	846
418	4324	835
419	4333	825
420	4343	814
421	4348	803
422	4358	793
423	4367	782
424	4377	772
425	4386	762
426	4395	751
427	4404	740
428	4414	730
429	4423	720
430	4441	710
431	4456	701
432	4469	691
433	4479	681
434	4489	670
435	4502	660
436	4514	650
437	4525	640
438	4536	630
439	4545	619
440	4555	609
441	4564	598
442	4573	588
443	4582	577
444	4592	567
445	4602	557
446	4612	546
447	4623	536
448	4634	526
449	4644	516
450	4653	505
451	4664	495
452	4674	484
453	4683	474
454	4690	463
455	4700	453
456	4710	443
457	4721	432
458	4731	422
459	4740	412
460	4749	401
461	4760	391
462	4770	381
463	4781	370
464	4791	360
465	4801	350
466	4818	340
467	4830	330
468	4841	320
469	4852	309
470	4862	299
471	4872	289
472	4882	278
473	4893	268
474	4902	258
475	4912	247
476	4921	237
477	4927	226
478	4936	216
479	4945	206
480	4954	195
481	4963	185
482	4973	175
483	4982	164
484	4991	154
485	5000	144
486	5010	133
487	5019	123
488	5029	113
489	5038	102
490	5047	92
491	5057	82
492	5066	71
493	5076	61
494	5086	51
495	5095	41
496	5105	30
497	5114	20
498	5121	10
499	5129	0
