iter	RMSE
299	0.7129445406
300	0.7129174511
301	0.7128999372
302	0.7128745912
303	0.7128574458
304	0.7128370228
305	0.7128197631
306	0.712804206
307	0.712780602
308	0.7127566923
309	0.7127439392
310	0.7127291312
311	0.7127196551
312	0.7127132211
313	0.7127020552
314	0.7126907417
315	0.7126741548
316	0.7126612169
317	0.7126571043
318	0.7126393121
319	0.7126380009
320	0.7126280757
321	0.7126020629
322	0.7125878062
323	0.7125679852
324	0.7125460418
325	0.7125200576
326	0.7125077305
327	0.7124969399
328	0.7124914064
329	0.7124794727
330	0.712456751
331	0.7124401726
332	0.712420616
333	0.7124021371
334	0.7123960704
335	0.7123831812
336	0.7123583512
337	0.7123338656
338	0.7123152271
339	0.7122969833
340	0.712296094
341	0.712286709
342	0.7122822387
343	0.7122542983
344	0.7122355373
345	0.712220359
346	0.7121983173
347	0.7121759871
348	0.7121612268
349	0.7121570154
350	0.7121443092
351	0.7121328623
352	0.7121224476
353	0.7121133335
354	0.7121100825
355	0.7120882751
356	0.7120874293
357	0.712064998
358	0.7120551913
359	0.7120329715
360	0.7120185959
361	0.7119982371
362	0.7119735256
363	0.7119621159
364	0.711948347
365	0.7119381248
366	0.7119360563
367	0.7119054796
368	0.7118900503
369	0.7118797064
370	0.7118721765
371	0.7118555507
372	0.7118458338
373	0.7118391036
374	0.7118270076
375	0.7117881514
376	0.7117774087
377	0.7117659459
378	0.7117619396
379	0.7117495477
380	0.7117450306
381	0.7117384444
382	0.7117338838
383	0.7117187591
384	0.7116844848
385	0.7116693427
386	0.7116419438
387	0.71163114
388	0.7116168789
389	0.7115951605
390	0.7115915803
391	0.7115798147
392	0.711559251
393	0.7115417129
394	0.7115331103
395	0.7115312187
396	0.7115080059
397	0.7114803491
398	0.7114793918
399	0.7114788078
400	0.7114549743
401	0.7114416754
402	0.7114392629
403	0.7114385911
404	0.7114278592
405	0.7114164841
406	0.7114040355
407	0.7113967288
408	0.7113751623
409	0.7113574317
410	0.7113373761
411	0.7113297426
412	0.7113113542
413	0.7112947392
414	0.7112911373
415	0.7112841511
416	0.711270471
417	0.711253315
418	0.7112453886
419	0.7112334157
420	0.71122041
421	0.7112197894
422	0.7111961017
423	0.7111746367
424	0.7111623787
425	0.7111453118
426	0.711139817
427	0.7111351707
428	0.7111269331
429	0.7111174756
430	0.7111010719
431	0.7110737564
432	0.7110399812
433	0.7110324264
434	0.7110271745
435	0.7110191688
436	0.7110134061
437	0.7110032191
438	0.71099568
439	0.7109915546
440	0.710975388
441	0.7109665071
442	0.7109614626
443	0.7109506683
444	0.7109417585
445	0.7109232533
446	0.7109046753
447	0.7108815703
448	0.7108591084
449	0.7108480403
450	0.7108341847
451	0.7108145888
452	0.710797145
453	0.7107788075
454	0.7107782479
455	0.7107673113
456	0.7107553614
457	0.710746077
458	0.7107388306
459	0.7107317012
460	0.7107304202
461	0.7107103738
462	0.7107001771
463	0.7106954683
464	0.7106728803
465	0.7106554684
466	0.7106339964
467	0.7106266021
468	0.710619141
469	0.7106095304
470	0.7106005002
471	0.7105863181
472	0.7105770972
473	0.7105649415
474	0.7105535112
475	0.7105466696
476	0.7105324282
477	0.710531859
478	0.7105242845
479	0.710506829
480	0.7104908499
481	0.7104797514
482	0.7104699639
483	0.7104597259
484	0.710445594
485	0.7104349156
486	0.7104286448
487	0.7104180801
488	0.7104129531
489	0.710397013
490	0.7103859157
491	0.7103808679
492	0.710367782
493	0.7103624029
494	0.7103502201
495	0.7103424901
496	0.7103151762
497	0.7103050404
498	0.7103045824
499	0.7103032878
