iter	RMSE
0	1.502064106
1	1.480302021
2	1.459535304
3	1.438547034
4	1.41834833
5	1.3983595
6	1.379337497
7	1.360686591
8	1.342227103
9	1.324000814
10	1.306434595
11	1.289498275
12	1.272792805
13	1.256497714
14	1.240513033
15	1.224956842
16	1.209806374
17	1.195225663
18	1.181041188
19	1.167077473
20	1.153916629
21	1.140751614
22	1.127853505
23	1.115668964
24	1.103509047
25	1.091628564
26	1.080145734
27	1.068833395
28	1.058040849
29	1.047543558
30	1.037154803
31	1.027443745
32	1.017954771
33	1.008291853
34	0.99921638
35	0.9905186421
36	0.9818420325
37	0.9733976308
38	0.9652990635
39	0.9576495512
40	0.9502687712
41	0.9428673853
42	0.9356154471
43	0.9286741193
44	0.9219513494
45	0.9154139089
46	0.9089986778
47	0.9028345853
48	0.8967633711
49	0.891127069
50	0.8856291052
51	0.88020246
52	0.8749671767
53	0.8699856978
54	0.8651456082
55	0.8604367012
56	0.8556566359
57	0.8513623723
58	0.8469665449
59	0.8427835937
60	0.8386266952
61	0.8347694478
62	0.8310231833
63	0.8272729545
64	0.8236758155
65	0.8202538836
66	0.8168844793
67	0.8136315006
68	0.8105536912
69	0.8075865887
70	0.8046057476
71	0.801784173
72	0.799121015
73	0.7964148627
74	0.7937923238
75	0.7913375526
76	0.7891184348
77	0.7867407019
78	0.7844776709
79	0.7822901874
80	0.7801570447
81	0.7781677204
82	0.7762172729
83	0.7742938659
84	0.7724890209
85	0.7707057774
86	0.7689299756
87	0.7671319138
88	0.7654615295
89	0.7638834542
90	0.7623433366
91	0.7609038588
92	0.7595092603
93	0.7581681989
94	0.7568205519
95	0.7554812606
96	0.7543524
97	0.7531737949
98	0.7520670598
99	0.7508780209
100	0.7497791382
101	0.7487270512
102	0.7476364178
103	0.7466264469
104	0.7456749503
105	0.7448052479
106	0.743861902
107	0.742997483
108	0.7422151792
109	0.7413987758
110	0.7406063994
111	0.7398227747
112	0.7390404909
113	0.7383146012
114	0.7376342961
115	0.7369662399
116	0.7363274491
117	0.7357020097
118	0.7351218907
119	0.7344850176
120	0.7338840512
121	0.7333428814
122	0.7327871566
123	0.7323101291
124	0.7317667737
125	0.7313199479
126	0.7308742927
127	0.7303945689
128	0.7299807451
129	0.7295684042
130	0.7291944884
131	0.7287833869
132	0.7283690887
133	0.7280200452
134	0.7276543175
135	0.727278731
136	0.7269423844
137	0.7266021791
138	0.7262916249
139	0.7259879885
140	0.7256986323
141	0.7253819222
142	0.7250689173
143	0.7247716215
144	0.7244988304
145	0.7242190501
146	0.7239813956
147	0.7237316917
148	0.7235025102
149	0.7232502437
150	0.723000499
151	0.7227790341
152	0.7225614135
153	0.722357354
154	0.722139908
155	0.721940449
156	0.7217630213
157	0.7215743621
158	0.7213871612
159	0.721197097
160	0.7210418343
161	0.720859075
162	0.7206947342
163	0.7205331279
164	0.7203754943
165	0.7202419045
166	0.720109878
167	0.7199657639
168	0.7198164102
169	0.7196958638
170	0.7195632894
171	0.7194220928
172	0.7192999826
173	0.7191771455
174	0.7190531419
175	0.7189487918
176	0.7188438501
177	0.7187276723
178	0.7186084133
179	0.7184961524
180	0.7183843272
181	0.7182807098
182	0.7181911391
183	0.7180873789
184	0.7179778417
185	0.7178895967
186	0.7177937455
187	0.7177031979
188	0.7176200352
189	0.7175264195
190	0.717428306
191	0.7173272408
192	0.7172466518
193	0.7171805656
194	0.7170877181
195	0.717023364
196	0.7169469581
197	0.7168594067
198	0.7167838392
199	0.7167265904
200	0.7166726542
201	0.7165979749
202	0.7165266839
203	0.7164653262
204	0.7163872649
205	0.7163089731
206	0.7162389207
207	0.7161814131
208	0.7161132503
209	0.7160571634
210	0.7159969669
211	0.7159429477
212	0.7158915938
213	0.7158369543
214	0.7157795827
215	0.7157136786
216	0.7156547508
217	0.7156049239
218	0.7155506043
219	0.7154923719
220	0.7154290573
221	0.7153935956
222	0.7153445966
223	0.7152890996
224	0.7152488815
225	0.7151938366
226	0.7151436464
227	0.715090856
228	0.7150587791
229	0.7149848573
230	0.7149511742
231	0.7149130084
232	0.7148684077
233	0.714832584
234	0.7148034425
235	0.7147535621
236	0.7147102216
237	0.7146595266
238	0.7146161155
239	0.7145815781
240	0.7145460698
241	0.7145048896
242	0.7144644047
243	0.7144310484
244	0.7143959013
245	0.71434329
246	0.7143066877
247	0.7142698992
248	0.7142468075
249	0.7142150681
250	0.7141914629
251	0.7141735994
252	0.7141337274
253	0.7141077666
254	0.7140745596
255	0.7140442712
256	0.7140106957
257	0.7139822072
258	0.7139559911
259	0.7139222409
260	0.7138983181
261	0.7138785829
262	0.7138390045
263	0.7138164718
264	0.7137975176
265	0.7137698303
266	0.7137421508
267	0.7137290752
268	0.7137040396
269	0.713674536
270	0.713654596
271	0.713631302
272	0.7135995886
273	0.7135734185
274	0.7135473564
275	0.7135202812
276	0.7135045326
277	0.7134645476
278	0.7134438219
279	0.7134135399
280	0.7133903763
281	0.7133627698
282	0.7133369957
283	0.7133125503
284	0.7132948484
285	0.7132747057
286	0.7132423044
287	0.7132197594
288	0.7131903795
289	0.7131688414
290	0.7131548653
291	0.7131417526
292	0.7131130127
293	0.7130725598
294	0.713041923
295	0.713019986
296	0.7130043862
297	0.7129859251
298	0.7129626158
